ID,date,mode,time_arrive,time_leave,car_own,rank_1,rank_2,rank_3,rank_4,rank_5,first_activity,last_activity,school_year,housing,complex,housing_type,city,longitude,latitude,grow_up,hs_modes,gender,married,children,college,college_work,work,parent_education
R_10UgKRgEIPE5KYN,2022-03-28 11:56:10,Walk,7H 55M 0S,16H 0M 0S,Yes,Cost,Health,Parking,Exercise,Preference,8,6,Freshman,Off-campus BYU-contracted housing,NA,NA,Provo,111.65130198333334,40.23701563145454,Kaysville Utah,"Drive alone or with siblings,Carpool with peers",Male,No,No,Life Sciences,NA,"Yes, on campus",Bachelor's degree
R_ZrWK1jEVGarUgiB,2022-03-28 11:56:42,Drive alone,9H 45M 0S,16H 54M 0S,Yes,Time,Convenience,Distance,NA,NA,7,6,Senior,Non-BYU-contracted housing (including with family),NA,NA,Provo,111.66535458000001,40.230421938818175,St George ut,Drive alone or with siblings,Male,Yes,No,Life Sciences,NA,"Yes, off campus",Bachelor's degree
R_3iJ7EWQDjvxwzUv,2022-03-28 11:57:35,The Ryde shuttle bus,11H 49M 0S,16H 0M 0S,Yes,Convenience,Time,Parking,Cost,Safety,6,8,Junior,On-campus housing,Wymount Terrace,NA,NA,111.6414,40.25899,"Highland, UT, USA","Dropped off by parent or guardian,School bus",Female,Yes,No,Education,NA,"Yes, on campus",Doctorate or professional degree
R_RgkIBwHSLklcFUd,2022-03-28 11:58:13,Carpool,8H 45M 0S,16H 0M 0S,Yes,Distance,Parking,Convenience,Availability,NA,10,6,Sophomore,Non-BYU-contracted housing (including with family),NA,NA,Provo,111.6292227748485,40.228962830363635,"East Orange, NJ, USA","Drive alone or with siblings,Dropped off by parent or guardian,Walk",Male,Yes,No,Physical and Mathematical Sciences,NA,"Yes, on campus",No college/post-secondary education
R_22WzjPzYVouUMPw,2022-03-28 12:00:04,The Ryde shuttle bus,8H 41M 0S,18H 0M 0S,Yes,Parking,Convenience,Weather,Distance,NA,6,6,Sophomore,Off-campus BYU-contracted housing,NA,NA,Provo,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Doctorate or professional degree
R_PAr4S0biQdz57gd,2022-03-28 12:00:24,Walk,10H 30M 0S,16H 0M 0S,Yes,Parking,Cost,Distance,Convenience,Weather,6,10,Sophomore,Off-campus BYU-contracted housing,NA,NA,Provo,111.65250718030303,40.23882566472727,"Moses Lake, Washington, United States",Drive alone or with siblings,Female,No,No,Education,NA,"Yes, on campus",Doctorate or professional degree
R_3r1kRQK3OS4IzTw,2022-03-28 12:00:26,The Ryde shuttle bus,8H 55M 0S,16H 0M 0S,Yes,Convenience,Parking,Preference,Availability,NA,9,9,Senior,On-campus housing,Wyview Park,NA,NA,111.66039,40.26054,"Rowland Heights, California","Carpool with peers,Dropped off by parent or guardian,Bicycle, scooter, skateboard, etc.",Male,Yes,No,Physical and Mathematical Sciences,NA,"Yes, on campus",Master's degree
R_1jOEYt8cxJe786h,2022-03-28 12:00:36,The Ryde shuttle bus,NA,17H 30M 0S,Yes,Parking,NA,NA,NA,NA,9,9,Sophomore,Off-campus BYU-contracted housing,NA,NA,Provo,111.6434923069697,40.24100509254545,MN,Drive alone or with siblings,Male,No,No,Engineering,NA,"Yes, on campus",Bachelor's degree
R_2eP7TfJD9sJdiP6,2022-03-28 12:00:53,The Ryde shuttle bus,NA,18H 0M 0S,No,Cost,Weather,Parking,Flexibility,NA,7,7,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.66200413242424,40.25847745454546,Idaho Falls,Drive alone or with siblings,Male,No,No,Engineering,NA,"Yes, on campus",Master's degree
R_stzfCHFahqIw6Q1,2022-03-28 12:00:53,Carpool,7H 45M 0S,19H 0M 0S,Yes,Time,Availability,Parking,Convenience,Preference,8,6,Senior,Non-BYU-contracted housing (including with family),NA,NA,Provo,111.67068155060606,40.245456296818176,"Mesa, Arizona, USA",Walk,Male,Yes,No,Engineering,NA,"Yes, on campus",Bachelor's degree
R_ZKVcnd6akAqM8ff,2022-03-28 12:01:14,Walk,9H 0M 0S,19H 0M 0S,Yes,Parking,Cost,Distance,Weather,Availability,9,6,Sophomore,Off-campus BYU-contracted housing,NA,NA,Provo,111.65376058515153,40.23965680245454,Spokane Washington,Drive alone or with siblings,Male,No,No,Physical and Mathematical Sciences,NA,"Yes, on campus",Master's degree
R_2ziG8aY49KBUGir,2022-03-28 12:01:31,Walk,7H 0M 0S,19H 0M 0S,Yes,Convenience,Cost,Distance,NA,NA,6,6,Sophomore,Off-campus BYU-contracted housing,NA,NA,Provo,111.65195278969698,40.23782829945454,South Jordan Utah,Drive alone or with siblings,Male,No,No,Business,NA,"Yes, both on and off campus",Master's degree
R_1jVbvhx9pFdtgK1,2022-03-28 12:02:22,Walk,8H 0M 0S,17H 0M 0S,Yes,Parking,Cost,Convenience,Distance,Exercise,9,6,Sophomore,Off-campus BYU-contracted housing,NA,NA,Provo,111.6467222348485,40.243313808454545,Pullman Washington,Carpool with peers,Female,No,No,Nursing,NA,"Yes, on campus",Associate's degree
R_3RmY71ZuyRxldMa,2022-03-28 12:02:36,"Bicycle, scooter, skateboard, etc.",NA,20H 57M 0S,Yes,Parking,Flexibility,Convenience,Distance,Health,7,7,Senior,Off-campus BYU-contracted housing,NA,NA,Provo,111.65216972515152,40.26357509927273,"São Paulo, Brazil",Public transportation,Male,No,No,Engineering,NA,"Yes, on campus",Bachelor's degree
R_264lrMpPYHJ7DbE,2022-03-28 12:02:54,Walk,8H 55M 0S,11H 58M 0S,Yes,Health,Exercise,Environment,Preference,Cost,9,7,Sophomore,On-campus housing,Wymount Terrace,NA,NA,111.6414,40.25899,"Chandler, Arizona, USA",Drive alone or with siblings,Male,Yes,No,"Family, Home, and Social Sciences",NA,"Yes, off campus",Doctorate or professional degree
R_12zCSC4cHJb5K2h,2022-03-28 12:03:00,Drive alone,9H 1M 0S,18H 30M 0S,Yes,Time,Flexibility,Preference,Convenience,Availability,8,7,Junior,Non-BYU-contracted housing (including with family),NA,NA,Other (specify):,NA,NA,"Draper, UT, USA","Drive alone or with siblings,Motorcycle or similar",Male,No,No,Life Sciences,NA,"Yes, off campus",Associate's degree
R_VKKQqXSWA0D5ko9,2022-03-28 12:03:09,Walk,8H 45M 0S,16H 55M 0S,Yes,Convenience,Time,Parking,Exercise,NA,7,6,Junior,Off-campus BYU-contracted housing,NA,NA,Provo,111.6598347778788,40.25391543190909,"Centerville, UT, USA","Drive alone or with siblings,School bus",Male,No,No,Engineering,NA,"Yes, both on and off campus",Doctorate or professional degree
